Filename,DIMBOA,DIMBOA-Glc,DIBOA,HDBOA-Glc,HDMBOA-Glc,InternalStandard
284,502508.8483,91954.11131,8047.521446,7052795.408,1360400.234,35633551.17
286,2067191.177,413903.5279,5082.964301,8114062.776,202856.788,46658336.5
287,962841.976,129876.4261,6855.664892,6511131.113,170044.3723,34122830.17
288,3040751.881,309934.001,8456.991219,5909113.362,326280.734,53306528.73
289,1701549.99,208961.3443,7139.970721,5272918.476,302816.3256,42979622.68
290,152758204.2,12725782.4,3712.160513,25762740,1047537.406,63227056.71
291,15032999.87,636355.2452,13744.72928,1808501.885,916680.6739,19437368.69
292,31739850.4,472920.0451,166099.842,3280810.582,2882443.318,53723071.47
293,61845762.83,441016.7781,118428.8616,2195976.082,4753914.381,63550198.94
294,10266146.37,586230.7102,85240.61956,4094309.833,3058800.088,21344834.4
296,4872267.595,1140910.226,150682.8239,16789695.91,15427168.63,44431629.09
297,10153952.42,1376956.435,213975.8892,22124823.42,25982638.28,48883097.23
298,15991382.23,1316414.728,11927.39983,11549769.32,18300078.28,67595959.68
299,78642505.34,1379718.063,183343.2798,6935918.121,4768658.039,61241393.62
300,7075826.163,72412.3923,8000.63997,874657.4654,244616.7247,20148313.24
301,1119220.787,163813.2334,8354.54874,6610896.582,1288112.582,38223684.58
302,2395166.76,759647.4736,5725.552212,30594009.12,1568618.635,41949671.96
303,123098.5733,13380.73274,36641.92384,1407182.27,229833.0923,6181486.447
304,1908143.118,391356.7599,59661.46792,12815462.09,372406.8308,39925623.56
305,1883446.845,366147.0897,3238.771689,9305421.646,1749454.68,42908963.82
306,2424461.115,507009.1637,181894.4181,6686371.221,734237.3258,55021398.54
307,325277.3279,88539.60649,5257.848789,3167063.891,1199101.937,22471852.38
308,1653989.16,269396.7642,641640.4156,5351678.173,1849144.302,41166273.98
309,2705451.498,567353.4425,462799.1236,18768606.49,2284670.244,45767412.14
310,914298.496,138874.7554,126833.0972,8674563.968,1357778.173,15355079.46
311,11060688.83,493768.6314,3588.61119,16674322.3,15346527.1,18867552.78
312,34132155.54,1529712.603,243705.7884,37327526.58,28688373.03,29993296.43
313,50621353.36,7542625.702,367740.5388,110111652.2,67545862.4,69709670.3
314,272234.2385,4427372.944,13479.2366,67818491.72,43619345.28,42285644.66
